目录

上 篇

拌炝溜卤酱
奶油鸡片 152

清汤玻璃鸡片 152
纸包鸡 152
鸡勾肉 153
维鸡抱蛋 153
清蒸如意鸡 153
糟炒鸡丝 153
糟焖鸡片 153
红焖香酥鸡 153
芝麻麻花鸡 154
盐卤白煮鸡 154
碎茶鸡 154
酱 鸡 154
烤 鸡 154
熏 鸡 154
烤 鸭 155
酥锅鸡 155
大烧鸡 155
炸鸡丁 155
锅烧鸡 155
糟蒸鸡 155
干炸鸡丝 156
清汤白鸡丸 156
锅贴鸡丝 156
鸡汤藏豆 156
浮油鸡片 156
清炒香茄鸡片 157
椒盐鸡配 157
炒鸡杂 157
油爆栗子脆 157
炸焖鸡杂 157
清炒三丁 157
烩鸡肝 158
炸脆肝 158
清炸栗子脆 158
煎鸡肺 158
糟卤鸡肝 158
炸烧肥肝 158
软炸肥肝 159
鸡里爆 159
鸡里蹦 159
锅塌鸡肺 159
油焖鸡肝 159

生炒肺肝 160
抓炒肺肝 160
清汤双脆 160
清汤凤衣 160
奶汤凤衣 160
清扒凤衣 160
凤杂牡丹 161
鸡膜炒苔菜 161
绘纱鸡膜 161
清汤鸡膜 161
奶油鸡膜 161
金丝鸡球 161
金线约白虫 162
烤 鸭 162
清蒸烤鸭 162
拾菜炒烤鸭丝 162
红烧烤鸭 162
蒸烧冬菜鸭 162
八宝鸭 163
黄焖鸭 163
清蒸鸭条 163
葱烧鸭条 163
锅烧鸭条 163
大烧鸭子 164
荷叶鸭条 164
鲜笋烩鸭条 164
糟蒸鸭条 164
奶油鸭片 164
黄焖鸭肝 164
清汤鸭杂 165
清汤金银鸭 165
白扒金银鸭 165
鸭丁烩腐皮 165
炸火腿鸭卷 165
白扒火腿鸭卷 166
砂锅原焖鸭 166
炸焖鸭膜脑 166
油爆鸭杂 166
五香鸽子 166
清炸维鸽 166
炸焖维鸽 167
清炒维鸽 167

青椒炒维鸽 167
清汤云片鸽蛋 167
红烧鸽蛋 167
煎蒸鸽蛋 167
鸽蛋烧肥肠 168
炸焖铁雀 168
炸铁雀 168
生炒铁雀 168
醋烹铁雀 168
烧铁雀 168
清烧铁雀 169
醋烧铁雀 169
芙蓉鸡片 169
炸焖三鲜蛋卷 169
炸三鲜蛋卷 169
烩三鲜蛋卷 170
红烧蛋卷 170
炸鸡蛋三角 170
扒鸡蛋 170
胶皮鸡蛋 170
扒三鲜鸡蛋盒 171
面包鸡蛋夹 171
锅塌鸡蛋 171
煎蛋角 171
琏黄菜 171
焖黄菜 171
七星鸡蛋 172
红烧鸡蛋 172
鸡蛋丸子 172
鸡蛋羹 172
黄菜汤 172
白膏汤 172
五香炸鸡蛋 173
五香茶鸡蛋 173
糟鸭豆腐羹 173
杂丝鸽蛋 173
椿头炒鸡蛋 173
西红柿炒鸡蛋 173
青椒炒鸡蛋 173
海米烧鸡蛋 174
爆鸡蛋 174
烩鸡蛋 174

大烧鸡蛋 174
熏卷卷 174
五香熏鸡蛋 175
高汤窝鸽 175

鱼虾蟹类

清蒸桂鱼 176
桂鱼抱蛋 176
荷包鱼 176
炒桂鱼片 176
炸焖鱼片 176
糟焖鱼片 177
锅塌鱼片 177
糟煎鱼片 177
番茄鱼片 177
煎烹鱼盒 177
抓炒鱼片 178
炸鱼片 178
芥炖桂鱼 178
红烧桂鱼 178
黄焖桂鱼 178
家常熏鱼 178
酱焖鱼 179
麻花鱼腰 179
三丝鱼卷 179
炸焖鱼饺 179
烩白鱼 179
白扒鱼 180
糟汁翻花鱼 180
炸鱼球 180
干煎鱼饼 180
面包鱼塔 180
芝麻鱼片 181
炸黄鱼 181
炸板鱼 181
锅贴鱼丝 181
油汆鱼 181
炸鱼三丝 182
番茄麻花鱼 182
松子鱼 182
干蒸加吉鱼 182

干烧鱼 183
糟蒸加吉鱼 183
酱汁鱼 183
南煎鱼 183
椒汆鱼 183
刮炖加吉鱼 184
烤 鱼 184
红烧鱼 184
黄焖鱼 184
清蒸加吉鱼 184
五柳鱼 184
泊炒鱼球 185
醋烧黄花鱼 185
奶油黄花鱼 185
酸辣黄花鱼 185
糟汁黄花鱼 185
糖醋全钱黄花鱼 185
松鼠鱼 186
番茄松鼠鱼 186
松子松鼠鱼 186
糖醋松鼠鱼 186
干炸黄鱼 186
蒸烧鲤鱼 187
奶油清蒸鱼 187
清蒸糖醋鱼 187
清蒸香茄鱼 187
糟煎桂鱼 187
奶汁桂鱼 187
清蒸怀胎鱼 188
奶油怀胎鱼 188
番茄怀胎鱼 188
糖醋鲤鱼 188
清蒸鲤鱼 188
糖醋松鼠鲤鱼 189
网油烤鱼 189
烧烧鱼 189
清蒸夹丝鱼 189
